Step,Status,Time
1,SAFE_PATH,0.04214959999990242
6,SAFE_PATH,0.03954660000090371
12,SAFE_PATH,0.025366500000018277
15,SAFE_PATH,0.032867300000361865
18,SAFE_PATH,0.032901399999900605
24,SAFE_PATH,0.0337509000000864
30,SAFE_PATH,0.04171929999938584
36,SAFE_PATH,0.05096420000154467
42,SAFE_PATH,0.05338570000094478
45,SAFE_PATH,0.044466599998486345
48,CACHE_HIT,5.060000148660038e-05
54,CACHE_HIT,5.2600000344682485e-05
